pl.p,IBRA,IBRAsub,planting,age,establishment,aridity.index,carbon,clay,elevation.relief,elevation,nitrogen,phosphorus,ph,prec.annual,prec.season,prescott,sand,silt,slope,soil.depth,solar.annual,tmax.annual,tmin.annual,TWI,tot.ag.mass,biomass.area,plant.count,density,rare.rich,rare.rich.se,alpha,SLA.cwm,WD.cwm,SM.cwm,MH.cwm,MH.FRr,SLA.FRr,SM.FRr,WD.FRr,SLA.FEs,WD.FEs,SM.FEs,MH.FEs,MH.FDs,SLA.FDs,SM.FDs,WD.FDs,FRv,FEm,FDm,log.age,log.aridity.index,log.prec.annual,log.prescott,log.density,best.cluster,mass.per.year
11,AVW,AVW01,10,11,TS,0.2119205296,1.4746968746,11.1468642553,8.3010864258,335,0.0498808833,0.0109434444,5.596889178,320,50,0.3432582021,81.1289393107,2.8754158815,0.5761618614,0.6535661221,20.8674051166,24.475,10.75,10.6817131042,2034.968586,23124.6430227273,32,363.6363636364,2,0,2,3.0059540286,1.16745469,0.8190260234,-0.0691217308,0.3671462438,0.0409705414,0.2183629819,0.0626446303,NA,NA,NA,NA,1,1,1,1,2.8284271247,0,0,2.3978952728,-1.5515439349,5.7683209958,-1.0692723393,5.8961543673,7,0.7430035736
12,AVW,AVW01,11,12,TS,0.2187295407,1.3350126743,14.4184325536,11.8264160156,304,0.0548105687,0.010667035,5.4678807259,334,58,0.3458070755,74.263092041,3.735563755,0.5589616299,0.7167027593,20.4470882538,24.7916666667,11.0833333333,10.1833314896,2404.26373,20203.8968907563,47,394.9579831933,5.7346511649,0.4757353007,6,2.824797526,1.4779578124,1.0197120702,-0.1452777197,1.3968312453,2.4745669199,2.8984772421,0.4497545974,0.3508437324,0.6693215531,0.6029875216,0.5137765163,0.4030856018,0.1776569396,0.0300347152,0.4794152394,0.3360156635,0.6636158844,0.7253724975,2.4849066498,-1.5199192863,5.811140993,-1.0618742447,5.9787793876,7,0.5209688514
13,AVW,AVW01,11,12,TS,0.2187295407,1.3350126743,14.4184325536,11.8264160156,304,0.0548105687,0.010667035,5.4678807259,334,58,0.3458070755,74.263092041,3.735563755,0.5589616299,0.7167027593,20.4470882538,24.7916666667,11.0833333333,10.1833314896,1412.042812,11865.9059831933,40,336.1344537815,2.6923076923,0.487143972,3,2.5644615696,1.2760518574,0.542113603,-0.1447886802,1.9218640867,1.3306992174,2.093903935,0.1174240483,0.8180983587,0.0744713205,0.0748548429,0.0041062136,0,0,0,0,3.2665865434,0.9025131175,0.756527043,2.4849066498,-1.5199192863,5.811140993,-1.0618742447,5.81751124,7,-0.0112374052
14,AVW,AVW01,11,12,TS,0.2187295407,1.3350126743,14.4184325536,11.8264160156,304,0.0548105687,0.010667035,5.4678807259,334,58,0.3458070755,74.263092041,3.735563755,0.5589616299,0.7167027593,20.4470882538,24.7916666667,11.0833333333,10.1833314896,3090.139575,25967.5594537815,58,487.3949579832,5.4150265679,0.6664002135,6,2.8855479717,1.2772594186,0.603692823,-0.1156882635,2.4954435339,2.4745669199,4.2893364618,0.3993423391,0.2527133836,0.5328823506,0.3707425113,0.2924134894,0.2256282522,0.0622889238,0.0202956656,0.2458921834,0.856815546,0.5352616446,0.7114411809,2.4849066498,-1.5199192863,5.811140993,-1.0618742447,6.1890747964,7,0.7719413959
15,AVW,AVW01,12,6,TS,0.2218607664,1.2977848053,15.8540239334,5.5225067139,262,0.0498508631,0.0117980866,6.2351999283,341,58,0.3442184031,77.7556050618,4.3735175133,0.6492608786,0.8049262762,20.4827450132,25.0416666667,11.2666666667,8.5150709152,814.068242,20351.70605,92,2300,4.545754123,0.4997731845,5,1.6056638713,1.752296644,-1.6807644771,-0.2344363958,1.1260112629,0.9639667241,4.7773648315,0.1786582149,0.6275835874,0.6802474716,0.4844532681,0.7156822021,0.8710652241,0.1897341142,0.5363620082,0.8027504326,0.0532150508,0.9467257803,0.8298256672,1.7917594692,-1.5057052722,5.8318824773,-1.0664789303,7.7406644019,7,1.2214052745
16,AVW,AVW01,12,6,TS,0.2218607664,1.2977848053,15.8540239334,5.5225067139,262,0.0498508631,0.0117980866,6.2351999283,341,58,0.3442184031,77.7556050618,4.3735175133,0.6492608786,0.8049262762,20.4827450132,25.0416666667,11.2666666667,8.5150709152,849.594296,21239.8574,48,1200,4.6245649625,0.4844755507,5,1.7980384008,1.8223711206,-1.2577470101,-0.2075751506,1.1260112629,0.9639667241,4.7773648315,0.1786582149,0.4619234864,0.6741360535,0.4529635923,0.6749592071,0.5109754794,0.585411104,0.1208812204,0.4173018623,0.0532150508,0.7765826274,0.7871907537,1.7917594692,-1.5057052722,5.8318824773,-1.0664789303,7.0900768358,7,1.2641200134
17,AVW,AVW01,12,6,TS,0.2218607664,1.2977848053,15.8540239334,5.5225067139,262,0.0498508631,0.0117980866,6.2351999283,341,58,0.3442184031,77.7556050618,4.3735175133,0.6492608786,0.8049262762,20.4827450132,25.0416666667,11.2666666667,8.5150709152,602.173195,15054.329875,66,1650,4.7038839484,0.4576557286,5,1.5862768662,1.7679210786,-1.7370868474,-0.2440742726,1.1260112629,0.9639667241,4.7773648315,0.1786582149,0.756983404,0.6504599255,0.3891571614,0.712809659,0.8710652241,0.1897341142,0.5363620082,0.8027504326,0.0532150508,0.9157567898,0.8188550804,1.7917594692,-1.5057052722,5.8318824773,-1.0664789303,7.4085305669,7,0.9199061799
18,AVW,AVW01,13,7,TS,0.2218607664,1.3638925552,17.1586322784,5.7212524414,257,0.0505861516,0.010023235,6.1643457413,341,58,0.3447260261,75.6405461629,4.2966569265,0.6067621708,0.7923613787,20.4827450132,25.0416666667,11.2666666667,9.4954042435,297.836362,13237.1716444444,38,1688.8888888889,7.7296181631,0.4658258944,8,2.0161847115,1.4770496751,0.756981638,-0.150873654,1.6094379124,1.1159269085,8.3736298027,0.3245149642,0.4279955459,0.6601567893,0.615463439,0.7327975171,0.2689535762,0.3527237677,0.0495513276,0.5141523925,1.6814452445,0.7349915086,0.8827647731,1.9459101491,-1.5057052722,5.8318824773,-1.0650053048,7.4318261295,7,0.6371187566
19,AVW,AVW01,13,7,TS,0.2218607664,1.3638925552,17.1586322784,5.7212524414,257,0.0505861516,0.010023235,6.1643457413,341,58,0.3447260261,75.6405461629,4.2966569265,0.6067621708,0.7923613787,20.4827450132,25.0416666667,11.2666666667,9.4954042435,282.524889,12556.6617333333,41,1822.2222222222,6.685167569,0.4857074988,7,2.1235689337,1.4079225115,0.7032925698,-0.1558278116,1.6988368279,1.1159269085,8.3736298027,0.3245149642,0.4822942891,0.7094834065,0.5067752428,0.5841944702,0.4486246351,0.3347835559,0.0495513276,0.3299381548,1.3076139149,0.6535345878,0.819604336,1.9459101491,-1.5057052722,5.8318824773,-1.0650053048,7.5078120365,7,0.5843411911
20,AVW,AVW01,13,7,TS,0.2218607664,1.3638925552,17.1586322784,5.7212524414,257,0.0505861516,0.010023235,6.1643457413,341,58,0.3447260261,75.6405461629,4.2966569265,0.6067621708,0.7923613787,20.4827450132,25.0416666667,11.2666666667,9.4954042435,355.358773,15793.7232444444,39,1733.3333333333,5.7188970347,0.47011935,6,2.2095657867,1.4024172001,1.438953281,-0.113670536,1.4552872326,1.1159269085,5.6907141572,0.2396699731,0.3283189461,0.6882294408,0.5406192126,0.6888357708,0.6296287849,0.2617018842,0.092952639,0.4467387678,0.7181025271,0.7397259792,0.955218432,1.9459101491,-1.5057052722,5.8318824773,-1.0650053048,7.4578016159,7,0.813702449
21,AVW,AVW01,14,9,DS/TS,0.2166558206,1.3349363804,18.1185471217,10.4885559082,280,0.0584336855,0.0106822199,5.8059164683,333,58,0.3444147706,69.8876927694,5.2584206263,0.7867206931,0.7504325509,20.4422758241,24.9916666667,11.2416666667,11.0838651657,793.653386,35273.4838222222,44,1955.5555555556,8.7699663999,0.4490870007,9,1.920957749,1.7498745691,1.9125156923,-0.2119010872,2.4849066498,2.4745669199,4.8204207761,0.4497545974,0.6390478711,0.7393586822,0.4841555219,0.6360904589,0.3399113088,0.4009446807,0.5119687858,0.3911189507,4.3447631197,0.7781252418,0.7777004407,2.1972245773,-1.5294452647,5.80814249,-1.0659086194,7.5784296037,7,1.3659069378
22,AVW,AVW01,14,9,DS/TS,0.2166558206,1.3349363804,18.1185471217,10.4885559082,280,0.0584336855,0.0106822199,5.8059164683,333,58,0.3444147706,69.8876927694,5.2584206263,0.7867206931,0.7504325509,20.4422758241,24.9916666667,11.2416666667,11.0838651657,612.083848,27203.7265777778,40,1777.7777777778,7.4949660414,0.6071812935,8,2.1085499009,1.4788599857,1.5933906623,-0.1826394773,2.4849066498,2.4745669199,5.0151786913,0.3993423391,0.4903093988,0.8308372627,0.46541825,0.7847485586,0.3067077196,0.1711599249,0.5262946876,0.6302741072,2.0768185602,0.7803255767,0.8101619774,2.1972245773,-1.5294452647,5.80814249,-1.0659086194,7.4831194239,7,1.1061293931
23,AVW,AVW01,14,9,DS/TS,0.2166558206,1.3349363804,18.1185471217,10.4885559082,280,0.0584336855,0.0106822199,5.8059164683,333,58,0.3444147706,69.8876927694,5.2584206263,0.7867206931,0.7504325509,20.4422758241,24.9916666667,11.2416666667,11.0838651657,517.778346,23012.3709333333,34,1511.1111111111,5.8810160428,0.3239028043,6,2.3314972913,1.4290363725,1.6546567705,-0.1284351287,2.4849066498,1.1463025541,4.8204207761,0.3245149642,0.4095603402,0.7169160601,0.4885179688,0.5233121307,0.3067077196,0.3694894395,0.4975270561,0.5832018112,0.406164463,0.6688761552,0.9036437353,2.1972245773,-1.5294452647,5.80814249,-1.0659086194,7.3206004944,7,0.9388073607
24,AVW,AVW01,15,23,TS,0.2124756277,1.1520929337,14.0625995,15.4963378906,387,0.0401958687,0.0094743716,5.3682567279,327,50,0.3022943437,78.5204467773,3.3195285797,1.9737216234,0.6549947858,21.4714580512,25,11.2666666667,9.3209037781,7215.518562,72155.18562,40,400,4.9870883029,0.112904066,5,2.0720501848,1.5090021784,2.6857555373,-0.1997019888,0.9840019923,1.2659661547,3.6839813088,0.429137918,0.3979190057,0.4898730308,0.3353595407,0.5481148506,0.4120572024,0.2927533327,0.0328332311,1,0.3610949942,0.8398289884,0.7782313464,3.1354942159,-1.5489279906,5.7899601709,-1.1963540882,5.9914645471,7,1.1433249395
25,AVW,AVW01,16,10,TS,0.1976744235,1.2217658758,15.0476493835,10.6749572754,332,0.0383669368,0.0101609907,5.4442925453,306,56,0.3017164767,79.5116780599,4.0687700113,1.3650692701,0.7198109627,20.9574026031,25.1833333333,11.4333333333,10.071975708,2170.161224,24112.9024888889,34,377.7777777778,6.6363636364,0.5473452081,7,2.7577288559,1.5013108444,0.974963612,-0.1249481814,1.4779905146,1.8159838578,2.5564300854,0.590851132,0.4368562305,0.2411051132,0.4344094857,0.492417267,0.2721887352,0.0936046428,0.0507952359,0.128311401,0.1954512849,0.3644967354,0.5471136456,2.302585093,-1.6211339277,5.723585102,-1.1982675215,5.9343061333,7,0.8801619772
26,AVW,AVW01,16,10,TS,0.1976744235,1.2217658758,15.0476493835,10.6749572754,332,0.0383669368,0.0101609907,5.4442925453,306,56,0.3017164767,79.5116780599,4.0687700113,1.3650692701,0.7198109627,20.9574026031,25.1833333333,11.4333333333,10.071975708,1564.189314,17379.8812666667,35,388.8888888889,5.7140947288,0.4876489883,6,2.6167132708,1.5663112743,1.0018888702,-0.0859464992,1.7917594692,1.3692926427,2.1351917954,0.1776912899,0.1818961566,0.531389418,0.1654379562,0.6455868083,0.687672482,0.5648431264,0.1831249656,0.4581813155,0.4389280503,0.7943052593,0.6934066542,2.302585093,-1.6211339277,5.723585102,-1.1982675215,5.9632936701,7,0.5527281952
27,AVW,AVW01,17,8,TS,0.2045307457,1.4148653746,14.236585935,10.5151367188,326,0.0462440029,0.0130014239,5.7588515282,316,53,0.2972067595,79.771697998,3.5677504539,1.3225805759,0.6714721918,20.9495636755,25.1333333333,11.4083333333,10.1024208069,1425.081712,33930.5169523809,51,1214.2857142857,2.5882352941,0.4921529568,3,1.8455818528,1.3313439085,4.6778955454,-0.0186525259,0.9840019923,0.6607677828,6.7631369162,0.1318270872,0.784208076,0.5793409922,0.8869356649,0.078274809,0.0813440504,1,0.683915952,0.4699223328,3.4145292296,0.7887929609,0.9412133114,2.0794415417,-1.5870369689,5.7557422136,-1.2133272226,7.1019112934,7,1.4448732728
28,AVW,AVW01,17,8,TS,0.2045307457,1.4148653746,14.236585935,10.5151367188,326,0.0462440029,0.0130014239,5.7588515282,316,53,0.2972067595,79.771697998,3.5677504539,1.3225805759,0.6714721918,20.9495636755,25.1333333333,11.4083333333,10.1024208069,2292.897579,54592.7995,55,1309.5238095238,3.9568001208,0.2038557455,4,1.9400742363,1.4845368299,3.9283122198,-0.0555830799,0.9840019923,2.0208174186,6.7631369162,0.4497545974,0.5493493772,0.1828967494,0.3517844782,0.1522171352,0.0813440504,0.326980447,0.683915952,0.1377384305,1.9398694156,0.8307541838,0.7101422638,2.0794415417,-1.5870369689,5.7557422136,-1.2133272226,7.1774188459,7,1.9204604551
29,AVW,AVW01,17,8,TS,0.2045307457,1.4148653746,14.236585935,10.5151367188,326,0.0462440029,0.0130014239,5.7588515282,316,53,0.2972067595,79.771697998,3.5677504539,1.3225805759,0.6714721918,20.9495636755,25.1333333333,11.4083333333,10.1024208069,761.50332,18131.0314285714,46,1095.2380952381,2,1.00428040247572E-06,2,1.819600411,1.3923597752,4.3333743733,-0.0108921037,0.0800427077,0.6607677828,4.6254172222,0.0619484924,NA,NA,NA,NA,1,1,1,1,2.8284271247,0,0,2.0794415417,-1.5870369689,5.7557422136,-1.2133272226,6.9987270572,7,0.8181833722
30,AVW,AVW01,17,8,TS,0.2045307457,1.4148653746,14.236585935,10.5151367188,326,0.0462440029,0.0130014239,5.7588515282,316,53,0.2972067595,79.771697998,3.5677504539,1.3225805759,0.6714721918,20.9495636755,25.1333333333,11.4083333333,10.1024208069,1046.081105,24906.6929761905,59,1404.7619047619,2.9762792961,0.1521776335,3,1.9090658701,1.3170901169,4.5032934662,-0.0267659503,0.9840019923,0.6607677828,6.7631369162,0.1318270872,0.8355869178,0.6599744795,0.8466184042,0.0937724244,0.0813440504,1,0.683915952,0.4699223328,3.4145292296,0.8283341604,0.9440989614,2.0794415417,-1.5870369689,5.7557422136,-1.2133272226,7.2476231046,7,1.1356950199
31,AVW,AVW01,18,8,TS,0.2043984532,1.3202328682,12.8374859492,12.4288635254,342,0.0391021172,0.0110551659,5.77241834,316,53,0.2930303216,81.0977223714,3.0628713767,0.8499857783,0.6753048301,21.0321506622,25.1333333333,11.4,8.7103252411,389.093027,5976.8514132104,49,752.688172043,1.612244898,0.4872382198,2,1.7933929939,1.6087069907,2.8189298702,0.009390943,0.0800427077,0.6607677828,4.6254172222,0.0619484924,NA,NA,NA,NA,0,0,0,0,2.8284271247,0,0,2.0794415417,-1.587683988,5.7557422136,-1.2274791886,6.6236510279,7,-0.2915476319
32,AVW,AVW02,19,17,DS/TS,0.2400261611,1.3200035095,9.8433772723,12.9934692383,293,0.0515245162,0.0127983506,5.7308732669,367,61,0.3522365689,81.3553161621,2.6549770435,0.387477845,0.8540409207,20.7643998329,24.9333333333,11.3166666667,8.5355882645,11563.306445,289082.661125,49,1225,5.4607377361,0.5989169366,6,2.2716278327,1.2725981991,1.8718670276,-0.1997435908,1.2287169061,0.8267412555,6.9618088822,0.3225983376,0.5590346209,0.869284675,0.529443051,0.548331835,0.4718894095,0.2929281423,0.2353115241,0.4149934235,0.7320363029,0.3145967968,0.7174205754,2.8332133441,-1.4270073571,5.9053618481,-1.0434522583,7.110696123,7,2.8334993278
33,AVW,AVW02,19,17,DS/TS,0.2400261611,1.3200035095,9.8433772723,12.9934692383,293,0.0515245162,0.0127983506,5.7308732669,367,61,0.3522365689,81.3553161621,2.6549770435,0.387477845,0.8540409207,20.7643998329,24.9333333333,11.3166666667,8.5355882645,4348.38071,108709.51775,52,1300,5.7784066922,0.8627973492,7,2.1765543856,1.0970438655,1.8387171564,-0.2255503243,1.2729656758,1.3314961394,7.5472007673,0.2791018925,0.4134992024,0.6780251136,0.4861741687,0.5670991296,0.4554863546,0,0.0063469583,0,0.5815316133,0.7261055942,0.9699182006,2.8332133441,-1.4270073571,5.9053618481,-1.0434522583,7.1701195434,7,1.855466006
34,AVW,AVW02,19,17,DS/TS,0.2400261611,1.3200035095,9.8433772723,12.9934692383,293,0.0515245162,0.0127983506,5.7308732669,367,61,0.3522365689,81.3553161621,2.6549770435,0.387477845,0.8540409207,20.7643998329,24.9333333333,11.3166666667,8.5355882645,10950.684902,273767.12255,37,925,4.9594594595,0.1977264101,5,2.4468722007,1.2370334191,1.1608042212,-0.195110865,0.8571533497,0.8267412555,6.9618088822,0.3225983376,0.4820846666,0.7122972743,0.3091375326,0.6805847377,0.104161785,0.2929281423,0.0200610367,0.4149934235,0.7320363029,0.313636456,0.783951107,2.8332133441,-1.4270073571,5.9053618481,-1.0434522583,6.8297937375,7,2.7790644832
35,AVW,AVW01,20,11,TS,0.2079207897,1.4046421051,12.0199289322,12.0987548828,375,0.0638394405,0.0090245601,5.8539586067,315,44,0.3127780855,83.6612625122,2.7724292676,1.080763936,0.6078142524,21.0209627208,24.4666666667,10.5416666667,11.1368150711,1465.822559,29316.45118,37,740,4.9984101749,0.0398409033,5,2.8334145907,1.4252920946,0.6052019978,-0.2270658657,2.1116107259,0.7482877623,1.5154691129,0.2620248605,0.9101199399,0.6144628668,0.4619297761,0.2916644275,0.1053160159,0.4497501111,0.4362331603,0.5880901855,0.1331090329,0.7204730337,0.7469906151,2.3978952728,-1.5705980905,5.7525726388,-1.162261332,6.6066501862,7,0.9802535594
36,AVW,AVW01,20,11,TS,0.2079207897,1.4046421051,12.0199289322,12.0987548828,375,0.0638394405,0.0090245601,5.8539586067,315,44,0.3127780855,83.6612625122,2.7724292676,1.080763936,0.6078142524,21.0209627208,24.4666666667,10.5416666667,11.1368150711,1199.181677,23983.63354,38,760,4.9932495823,0.0818833957,5,2.792099958,1.3968424219,0.6962597705,-0.1996441134,2.1116107259,0.7482877623,1.5154691129,0.2620248605,0.7930782589,0.7068950143,0.4566066666,0.2596141023,0.1053160159,0.5530674645,0.4362331603,0.5880901855,0.1331090329,0.7508295189,0.7268167415,2.3978952728,-1.5705980905,5.7525726388,-1.162261332,6.6333184333,7,0.7794763891
37,AVW,AVW02,21,30,TS,0.2797385752,1.6008905172,12.1349550883,23.5307312012,237,0.068406182,0.0139842226,5.7670790354,428,68,0.3933345973,82.0451329549,3.187489748,3.2770135403,0.7907275558,20.3698794442,24.6916666667,10.6583333333,11.5675697327,6306.002438,140133.387511111,30,666.6666666667,3,0,3,2.9211628821,1.2890856333,1.0629783335,-0.1175301917,0.352356892,0.1944678389,0.4049216122,0.1259308222,0.8717529025,0.723144596,0.5486930399,0.8464619821,0,0,0,0,1.4185213257,0.0867863541,0.701956756,3.4011973817,-1.2738997719,6.0591231956,-0.9330946366,6.5022901709,6,1.5413973553
38,AVW,AVW02,21,30,TS,0.2797385752,1.6008905172,12.1349550883,23.5307312012,237,0.068406182,0.0139842226,5.7670790354,428,68,0.3933345973,82.0451329549,3.187489748,3.2770135403,0.7907275558,20.3698794442,24.6916666667,10.6583333333,11.5675697327,23839.348572,366759.2088,30,461.5384615385,8,0,8,3.1216384716,1.5029599081,0.7336258006,-0.2421396826,1.8971199849,0.4739422989,2.5715355011,0.3124371188,0.2425058249,0.747314236,0.7560996825,0.361089684,0,0.5207768107,0.489828968,0.3307256914,2.6374773622,0.6552093123,0.9313505012,3.4011973817,-1.2738997719,6.0591231956,-0.9330946366,6.1345653907,6,2.5035081442
39,AVW,AVW01,22,5,TS,0.2059585452,1.1480510235,13.3971274694,16.0490112305,401,0.0396457482,0.0090856552,5.265402476,318,54,0.3045686781,81.7074305216,3.2752737999,1.85067451,0.6250146031,21.261190994,24.9833333333,11.1916666667,8.665099144,1470.729876,22522.6627258806,32,490.045941807,3.9375,0.2420614591,4,2.098166502,1.1589958692,2.0561780666,-0.1191208464,0.9067212809,2.0098676279,7.6296466443,0.3897291369,0.778045421,0.8418704695,0.1611610517,0.4174845435,0.8527315996,0.55452273,0.3667227342,0.6826060489,1.9437388137,0.7417620914,0.7652673495,1.6094379124,-1.5800803673,5.7620513828,-1.1888586733,6.1944991455,7,1.5050841221
